,Player_ID,goals,minutes_played,Appearances,goals_90,goals_game
406,65467,25,11520,172,460.8,0.14534883720930233
407,65489,0,1749,29,inf,0.0
408,66099,0,4056,61,inf,0.0
409,66106,35,17821,252,509.1714285714286,0.1388888888888889
410,66110,0,172,5,inf,0.0
411,66112,5,6126,98,1225.2,0.05102040816326531
412,66413,0,367,6,inf,0.0
413,66736,1,1197,17,1197.0,0.058823529411764705
414,67080,9,15254,176,1694.888888888889,0.05113636363636364
415,67082,19,10259,174,539.9473684210526,0.10919540229885058
416,67089,6,7447,91,1241.1666666666667,0.06593406593406594
417,67090,0,6883,95,inf,0.0
418,67542,0,1233,20,inf,0.0
419,67544,0,210,9,inf,0.0
420,67546,4,5677,65,1419.25,0.06153846153846154
421,67548,19,9625,154,506.57894736842104,0.12337662337662338
422,67808,5,8553,119,1710.6,0.04201680672268908
423,67823,0,1688,24,inf,0.0
424,67920,4,1009,18,252.25,0.2222222222222222
425,68290,59,8280,97,140.33898305084745,0.6082474226804123
426,68645,2,6939,86,3469.5,0.023255813953488372
427,69001,0,225,3,inf,0.0
428,69006,2,463,8,231.5,0.25
429,69609,0,2898,42,inf,0.0
430,69660,1,4465,56,4465.0,0.017857142857142856
431,69751,13,20618,245,1586.0,0.053061224489795916
432,69819,1,566,21,566.0,0.047619047619047616
433,70245,0,2092,27,inf,0.0
434,70767,0,151,6,inf,0.0
435,70898,0,1709,26,inf,0.0
436,70934,43,12329,189,286.72093023255815,0.2275132275132275
437,70946,0,469,9,inf,0.0
438,71002,0,6,2,inf,0.0
439,71204,0,4337,53,inf,0.0
440,71206,0,1170,13,inf,0.0
441,71273,6,1810,34,301.6666666666667,0.17647058823529413
442,71394,10,3089,45,308.9,0.2222222222222222
443,71548,5,13604,169,2720.8,0.029585798816568046
444,71559,7,10551,128,1507.2857142857142,0.0546875
445,71570,0,6295,71,inf,0.0
446,71571,2,5922,106,2961.0,0.018867924528301886
447,71579,3,2761,54,920.3333333333334,0.05555555555555555
448,71601,0,1141,15,inf,0.0
449,71671,10,3767,65,376.7,0.15384615384615385
450,71801,0,607,8,inf,0.0
451,71835,0,1200,14,inf,0.0
452,71840,1,1288,27,1288.0,0.037037037037037035
453,71904,2,2621,36,1310.5,0.05555555555555555
454,71905,12,8701,127,725.0833333333334,0.09448818897637795
455,71918,3,4818,72,1606.0,0.041666666666666664
456,72047,128,20409,251,159.4453125,0.5099601593625498
457,72189,3,4948,63,1649.3333333333333,0.047619047619047616
458,72195,1,1431,27,1431.0,0.037037037037037035
459,72201,0,83,3,inf,0.0
460,72286,0,566,7,inf,0.0
461,72310,0,10448,132,inf,0.0
462,72315,0,3155,51,inf,0.0
463,72319,0,131,3,inf,0.0
464,72479,1,398,5,398.0,0.2
465,72522,16,3966,90,247.875,0.17777777777777778
466,72779,2,2633,47,1316.5,0.0425531914893617
467,72935,0,1,1,inf,0.0
468,73076,0,346,8,inf,0.0
469,73092,0,3573,50,inf,0.0
470,73180,4,4507,55,1126.75,0.07272727272727272
471,73185,52,14554,188,279.88461538461536,0.2765957446808511
472,73222,0,13,2,inf,0.0
473,73244,0,18,1,inf,0.0
474,73250,8,18790,227,2348.75,0.03524229074889868
475,73314,0,1488,31,inf,0.0
476,73319,1,4683,55,4683.0,0.01818181818181818
477,73636,11,5545,97,504.09090909090907,0.1134020618556701
478,73734,6,7128,90,1188.0,0.06666666666666667
479,73782,4,1352,21,338.0,0.19047619047619047
480,74228,0,2532,32,inf,0.0
481,74229,24,23091,270,962.125,0.08888888888888889
482,74230,36,12398,167,344.3888888888889,0.2155688622754491
483,74232,0,1155,15,inf,0.0
484,74294,0,3581,75,inf,0.0
485,74297,8,4371,59,546.375,0.13559322033898305
486,74314,0,1499,17,inf,0.0
487,74418,2,654,15,327.0,0.13333333333333333
488,74557,3,4188,52,1396.0,0.057692307692307696
489,74641,0,230,4,inf,0.0
490,74857,0,19982,217,inf,0.0
491,74869,4,6079,103,1519.75,0.038834951456310676
492,74954,7,3804,63,543.4285714285714,0.1111111111111111
493,74996,0,172,7,inf,0.0
494,75127,0,1526,21,inf,0.0
