,Player_ID,goals,assists,minutes_played,Appearances,goals_assists_per_90,goals_assists_per_game
759,149231,12,10,6257,88,0.3164455809493367,0.25
760,149498,7,6,14117,162,0.08287879861160304,0.08024691358024691
761,149716,3,3,2389,34,0.22603599832565924,0.17647058823529413
762,150948,6,11,11021,163,0.1388258778695218,0.10429447852760736
763,151470,0,3,3172,65,0.08511979823455233,0.046153846153846156
764,153236,3,2,5308,75,0.08477769404672193,0.06666666666666667
765,153238,21,18,7699,90,0.45590336407325627,0.43333333333333335
766,153427,8,16,7003,139,0.30843924032557474,0.17266187050359713
767,154059,46,10,9851,178,0.5116231854634047,0.3146067415730337
768,155423,1,0,1438,17,0.06258692628650904,0.058823529411764705
769,156501,3,1,5741,82,0.06270684549730013,0.04878048780487805
770,156808,2,3,8243,102,0.054591774839257555,0.049019607843137254
771,156814,6,6,5146,90,0.2098717450446949,0.13333333333333333
772,158057,1,1,514,14,0.35019455252918286,0.14285714285714285
773,158071,0,0,29,1,0.0,0.0
774,158704,0,0,791,23,0.0,0.0
775,158791,3,2,8721,114,0.05159958720330238,0.043859649122807015
776,158795,7,1,5287,95,0.1361830905995839,0.08421052631578947
777,158849,0,0,1725,25,0.0,0.0
778,158863,12,6,22141,247,0.07316742694548575,0.0728744939271255
779,159142,0,0,2521,29,0.0,0.0
780,160182,0,0,660,13,0.0,0.0
781,160506,0,0,406,8,0.0,0.0
782,161267,0,3,1201,27,0.2248126561199001,0.1111111111111111
783,162027,0,0,360,4,0.0,0.0
784,162038,35,4,6822,81,0.5145118733509235,0.48148148148148145
785,162043,0,0,10,1,0.0,0.0
786,162056,18,6,6177,105,0.34968431277319084,0.22857142857142856
787,162063,0,0,74,2,0.0,0.0
788,162074,3,1,1354,25,0.2658788774002954,0.16
789,162079,2,1,2560,58,0.10546875,0.05172413793103448
790,162652,0,2,850,28,0.21176470588235294,0.07142857142857142
791,163086,3,3,5170,67,0.10444874274661509,0.08955223880597014
792,164055,0,11,5939,79,0.1666947297524836,0.13924050632911392
793,164292,0,0,17,2,0.0,0.0
794,164477,0,0,33,1,0.0,0.0
795,164770,7,5,16760,198,0.06443914081145584,0.06060606060606061
796,164816,0,0,11,2,0.0,0.0
797,165007,14,34,13100,209,0.3297709923664122,0.22966507177033493
798,165012,2,1,1961,31,0.13768485466598673,0.0967741935483871
799,165467,0,0,5291,53,0.0,0.0
800,165873,0,1,450,5,0.2,0.2
801,166677,1,1,2714,28,0.06632277081798084,0.07142857142857142
802,166683,0,0,963,39,0.0,0.0
803,167093,0,1,4244,51,0.02120640904806786,0.0196078431372549
804,167228,0,0,2868,32,0.0,0.0
805,167291,10,4,5158,63,0.24428072896471503,0.2222222222222222
806,167721,28,7,6049,98,0.5207472309472639,0.35714285714285715
807,167798,1,3,620,24,0.5806451612903226,0.16666666666666666
808,167850,13,2,1964,28,0.6873727087576375,0.5357142857142857
809,168959,2,4,11307,181,0.04775802600159193,0.03314917127071823
810,169497,0,0,4441,49,0.0,0.0
811,170472,5,13,13277,173,0.12201551555321233,0.10404624277456648
812,170646,0,1,788,19,0.11421319796954314,0.05263157894736842
813,170895,2,1,1557,31,0.17341040462427745,0.0967741935483871
814,171068,0,1,1231,15,0.07311129163281885,0.06666666666666667
815,171165,0,0,169,5,0.0,0.0
816,171167,0,0,558,11,0.0,0.0
817,171362,1,0,5492,76,0.01638747268754552,0.013157894736842105
818,172015,0,0,18508,208,0.0,0.0
819,172127,0,0,41,3,0.0,0.0
820,172142,2,0,643,20,0.27993779160186627,0.1
821,172181,1,4,2118,28,0.21246458923512748,0.17857142857142858
822,173900,0,2,1256,28,0.14331210191082802,0.07142857142857142
823,174344,7,14,9377,138,0.20155700117308306,0.15217391304347827
824,174694,0,0,133,5,0.0,0.0
825,174706,2,0,1556,27,0.11568123393316196,0.07407407407407407
826,174859,0,0,1234,19,0.0,0.0
827,175323,4,0,8288,111,0.04343629343629344,0.036036036036036036
828,175446,3,10,11329,138,0.10327478153411597,0.09420289855072464
829,175449,21,31,14172,216,0.3302286198137172,0.24074074074074073
830,175836,0,0,556,13,0.0,0.0
