,Player_ID,goals,assists,minutes_played,Appearances,goals_assists_per_game
586,96533,23,4,4513,63,0.42857142857142855
587,96540,0,1,248,5,0.2
588,96718,7,21,16359,207,0.13526570048309178
589,96828,19,2,3454,53,0.39622641509433965
590,98249,16,12,11358,166,0.1686746987951807
591,98322,12,21,7737,158,0.2088607594936709
592,98512,0,1,481,13,0.07692307692307693
593,98596,17,6,4828,130,0.17692307692307693
594,99349,0,0,27,1,0.0
595,99352,3,16,6713,105,0.18095238095238095
596,99353,36,20,12229,180,0.3111111111111111
597,99355,1,4,3466,50,0.1
598,99499,1,0,319,13,0.07692307692307693
599,99559,2,4,2325,45,0.13333333333333333
600,99922,9,6,12099,148,0.10135135135135136
601,99924,0,1,732,11,0.09090909090909091
602,100131,4,8,6751,103,0.11650485436893204
603,100722,4,0,2209,35,0.11428571428571428
604,101118,0,0,4958,56,0.0
605,101742,0,1,3875,44,0.022727272727272728
606,102146,0,0,5400,54,0.0
607,102423,6,1,10443,113,0.061946902654867256
608,102744,0,1,1093,15,0.06666666666666667
609,103890,1,4,2392,28,0.17857142857142858
610,105521,2,0,334,8,0.25
611,105899,1,0,1754,24,0.041666666666666664
612,106825,0,0,71,2,0.0
613,106837,1,1,3733,46,0.043478260869565216
614,107010,2,3,14891,172,0.029069767441860465
615,108390,0,0,12690,135,0.0
616,108830,0,0,2730,35,0.0
617,110309,1,1,1684,32,0.0625
618,110366,7,4,2384,43,0.2558139534883721
619,111082,0,2,1318,25,0.08
620,111508,4,4,9471,122,0.06557377049180328
621,111621,0,0,191,5,0.0
622,111630,6,2,1371,20,0.4
623,111819,0,0,7110,79,0.0
624,111873,0,0,360,4,0.0
625,111961,4,6,3448,59,0.1694915254237288
626,112668,8,4,2328,35,0.34285714285714286
627,113045,1,4,13101,163,0.03067484662576687
628,113133,5,1,7682,84,0.07142857142857142
629,114060,8,3,3385,60,0.18333333333333332
630,114130,0,0,86,2,0.0
631,114340,0,0,977,12,0.0
632,115333,5,1,6373,68,0.08823529411764706
633,115382,2,1,4925,61,0.04918032786885246
634,115507,0,0,429,9,0.0
635,118008,1,1,752,14,0.14285714285714285
636,118732,0,0,199,13,0.0
637,118997,0,0,8457,94,0.0
638,119228,8,2,1726,35,0.2857142857142857
639,119235,48,17,8304,164,0.39634146341463417
640,119622,1,4,1692,31,0.16129032258064516
641,119905,9,18,20316,233,0.11587982832618025
642,120095,10,24,11280,137,0.24817518248175183
643,120211,0,0,122,2,0.0
644,120443,2,2,3280,51,0.0784313725490196
645,120629,0,0,3240,36,0.0
646,120705,0,0,5222,53,0.0
647,121483,0,1,24402,267,0.003745318352059925
648,121990,0,6,1987,31,0.1935483870967742
649,122043,0,3,2652,58,0.05172413793103448
650,122155,70,20,13320,205,0.43902439024390244
651,124550,0,1,347,11,0.09090909090909091
652,124555,0,1,2823,32,0.03125
653,124560,1,2,550,15,0.2
654,124891,0,1,97,3,0.3333333333333333
655,125165,2,4,1225,18,0.3333333333333333
656,125735,1,0,1244,24,0.041666666666666664
657,125781,121,51,21706,280,0.6142857142857143
658,125783,0,0,534,10,0.0
659,125931,2,10,9301,114,0.10526315789473684
660,126252,0,1,3929,49,0.02040816326530612
661,126516,1,11,6404,80,0.15
662,126540,2,1,7187,91,0.03296703296703297
663,126625,3,7,5441,78,0.1282051282051282
664,126664,0,2,1877,29,0.06896551724137931
665,126716,45,27,9497,162,0.4444444444444444
666,126722,0,0,1087,14,0.0
667,126731,0,0,90,1,0.0
668,126737,53,12,10404,186,0.34946236559139787
669,126741,0,0,63,3,0.0
670,126751,0,0,1534,22,0.0
671,126875,0,0,460,7,0.0
672,127032,0,1,1003,19,0.05263157894736842
673,127048,31,4,4694,75,0.4666666666666667
674,127108,3,2,9051,98,0.05102040816326531
675,127142,2,0,1156,20,0.1
676,127187,0,2,1157,15,0.13333333333333333
677,127189,7,12,8866,135,0.14074074074074075
678,127457,1,0,1118,25,0.04
679,127554,1,7,9507,116,0.06896551724137931
680,127837,16,15,8416,151,0.2052980132450331
681,127987,2,6,2155,41,0.1951219512195122
682,128219,2,0,1006,21,0.09523809523809523
683,128220,8,8,2680,44,0.36363636363636365
684,128223,36,8,4933,75,0.5866666666666667
685,128295,1,8,8908,109,0.08256880733944955
686,128488,2,0,4726,58,0.034482758620689655
687,128969,0,0,1170,13,0.0
688,129386,8,6,9158,108,0.12962962962962962
689,129444,8,6,12017,145,0.09655172413793103
690,129473,13,4,6094,102,0.16666666666666666
691,129476,2,7,1284,27,0.3333333333333333
692,129679,1,0,1428,35,0.02857142857142857
693,129693,1,0,1391,29,0.034482758620689655
694,129753,8,6,6988,110,0.12727272727272726
695,130360,0,0,289,9,0.0
696,130365,0,0,754,12,0.0
697,130756,1,1,1739,22,0.09090909090909091
698,131090,3,0,5521,67,0.04477611940298507
699,131102,3,0,8516,107,0.028037383177570093
700,131248,3,1,1420,24,0.16666666666666666
701,131275,11,8,4700,94,0.20212765957446807
702,131505,38,30,11982,172,0.3953488372093023
703,131506,2,0,490,10,0.2
704,131667,2,1,2198,39,0.07692307692307693
705,131694,0,1,376,12,0.08333333333333333
706,131708,1,1,4312,51,0.0392156862745098
707,132921,2,3,2477,41,0.12195121951219512
708,133089,1,0,753,14,0.07142857142857142
709,133794,16,4,8863,153,0.13071895424836602
710,134098,0,0,569,7,0.0
711,134936,13,8,3301,74,0.28378378378378377
712,135208,3,6,4442,51,0.17647058823529413
713,135343,2,2,2221,25,0.16
714,135492,0,1,950,10,0.1
715,137174,2,1,5780,68,0.04411764705882353
716,137616,2,2,5230,87,0.04597701149425287
717,137648,1,0,1473,17,0.058823529411764705
718,137704,12,5,5475,89,0.19101123595505617
719,138655,0,0,8,1,0.0
720,138662,0,0,892,12,0.0
721,138803,3,10,6277,116,0.11206896551724138
722,138927,3,29,15770,192,0.16666666666666666
723,138935,4,3,8975,127,0.05511811023622047
724,139336,1,1,9187,111,0.018018018018018018
