club_id,name,pretty_name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
368,fc-sevilla,Fc Sevilla,ES1,244.53,25,28.4,18,72.0,12,Ramón Sánchez-Pizjuán,43883,+£57.15m,Julen Lopetegui,https://www.transfermarkt.co.uk/fc-sevilla/startseite/verein/368
3524,clermont-foot-63,Clermont Foot 63,FR1,30.06,26,25.9,16,61.5,10,Stade Gabriel-Montpied,13000,+£17.19m,Pascal Gastien,https://www.transfermarkt.co.uk/clermont-foot-63/startseite/verein/3524
290,aj-auxerre,Aj Auxerre,FR1,32.67,32,26.3,14,43.8,8,Stade de l'Abbé-Deschamps,18541,£-3.38m,Jean-Marc Furlan,https://www.transfermarkt.co.uk/aj-auxerre/startseite/verein/290
1420,sco-angers,Sco Angers,FR1,59.49,34,24.4,16,47.1,9,Stade Raymond Kopa,19350,+£15.30m,Gérald Baticle,https://www.transfermarkt.co.uk/sco-angers/startseite/verein/1420
1147,ac-ajaccio,Ac Ajaccio,FR1,22.55,31,27.4,15,48.4,10,Stade François-Coty,10446,+£270Th.,Olivier Pantaloni,https://www.transfermarkt.co.uk/ac-ajaccio/startseite/verein/1147
3911,stade-brest-29,Stade Brest 29,FR1,66.02,24,25.5,11,45.8,6,Stade Francis-Le Blé,15097,£-4.82m,Michel Der Zakarian,https://www.transfermarkt.co.uk/stade-brest-29/startseite/verein/3911
1158,fc-lorient,Fc Lorient,FR1,66.65,27,24.0,13,48.1,8,Stade du Moustoir,19010,+£7.61m,Régis Le Bris,https://www.transfermarkt.co.uk/fc-lorient/startseite/verein/1158
11127,ural-ekaterinburg,Ural Ekaterinburg,RU1,19.49,30,26.5,11,36.7,2,Yekaterinburg Arena,27000,£-612Th.,Viktor Goncharenko,https://www.transfermarkt.co.uk/ural-ekaterinburg/startseite/verein/11127
667,rc-strassburg-alsace,Rc Strassburg Alsace,FR1,98.78,26,26.0,11,42.3,6,Stade de la Meinau,29000,£-3.15m,Julien Stéphan,https://www.transfermarkt.co.uk/rc-strassburg-alsace/startseite/verein/667
969,montpellier-hsc,Montpellier Hsc,FR1,99.95,27,24.8,9,33.3,6,Stade de la Mosson,32939,£-900Th.,Olivier Dall'Oglio,https://www.transfermarkt.co.uk/montpellier-hsc/startseite/verein/969
995,fc-nantes,Fc Nantes,FR1,95.0,28,25.7,10,37.0,7,Stade de la Beaujoire,37463,£-9.59m,Antoine Kombouaré,https://www.transfermarkt.co.uk/fc-nantes/startseite/verein/995
3719,fk-khimki,Fk Khimki,RU1,18.61,25,26.0,4,16.0,1,Arena Khimki,18636,£-110Th.,Spartak Gogniev,https://www.transfermarkt.co.uk/fk-khimki/startseite/verein/3719
1082,losc-lille,Losc Lille,FR1,169.92,25,24.8,16,64.0,9,Decathlon Arena-Stade Pierre-Mauroy,50186,+£66.15m,Paulo Fonseca,https://www.transfermarkt.co.uk/losc-lille/startseite/verein/1082
417,ogc-nizza,Ogc Nizza,FR1,211.14,27,25.0,18,66.7,9,Allianz Riviera,36178,£-33.30m,Lucien Favre,https://www.transfermarkt.co.uk/ogc-nizza/startseite/verein/417
244,olympique-marseille,Olympique Marseille,FR1,229.5,27,24.6,18,66.7,15,Orange Vélodrome,67394,£-52.00m,Igor Tudor,https://www.transfermarkt.co.uk/olympique-marseille/startseite/verein/244
3725,akhmat-grozny,Akhmat Grozny,RU1,23.69,29,26.0,6,20.7,3,Akhmat-Arena,30200,£-4.64m,Sergey Tashuev,https://www.transfermarkt.co.uk/akhmat-grozny/startseite/verein/3725
273,fc-stade-rennes,Fc Stade Rennes,FR1,252.95,29,23.5,12,42.9,11,Roazhon Park,29778,£-5.40m,Bruno Génésio,https://www.transfermarkt.co.uk/fc-stade-rennes/startseite/verein/273
415,fc-toulouse,Fc Toulouse,FR1,45.99,26,24.0,22,84.6,7,Stadium Municipal,33150,+£540Th.,Philippe Montanier,https://www.transfermarkt.co.uk/fc-toulouse/startseite/verein/415
15,bayer-04-leverkusen,Bayer 04 Leverkusen,L1,422.87,28,24.4,20,71.4,13,BayArena,30210,£-4.05m,Gerardo Seoane,https://www.transfermarkt.co.uk/bayer-04-leverkusen/startseite/verein/15
1435,go-ahead-eagles-deventer,Go Ahead Eagles Deventer,NL1,10.19,28,23.7,10,35.7,0,De Adelaarshorst,9909,+£675Th.,René Hake,https://www.transfermarkt.co.uk/go-ahead-eagles-deventer/startseite/verein/1435
724,fc-volendam,Fc Volendam,NL1,10.33,28,22.3,11,40.7,0,Kras Stadion,7384,+-0,Wim Jonk,https://www.transfermarkt.co.uk/fc-volendam/startseite/verein/724
468,sparta-rotterdam,Sparta Rotterdam,NL1,10.19,24,26.1,10,43.5,2,"Sparta-stadion ""Het Kasteel""",11026,+£1.52m,Maurice Steijn,https://www.transfermarkt.co.uk/sparta-rotterdam/startseite/verein/468
1283,fc-emmen,Fc Emmen,NL1,10.51,30,24.6,13,43.3,1,De Oude Meerdijk,8309,+-0,Dick Lukkien,https://www.transfermarkt.co.uk/fc-emmen/startseite/verein/1283
681,real-sociedad-san-sebastian,Real Sociedad San Sebastian,ES1,334.17,27,24.8,5,18.5,6,Reale Arena,39313,+£24.75m,Imanol Alguacil,https://www.transfermarkt.co.uk/real-sociedad-san-sebastian/startseite/verein/681
235,rkc-waalwijk,Rkc Waalwijk,NL1,10.58,26,25.5,15,57.7,5,Mandemakers Stadion,7508,+£2.70m,Joseph Oosting,https://www.transfermarkt.co.uk/rkc-waalwijk/startseite/verein/235
133,sc-cambuur-leeuwarden,Sc Cambuur Leeuwarden,NL1,14.9,27,24.4,10,37.0,6,Cambuurstadion,10250,£-495Th.,Henk de Jong,https://www.transfermarkt.co.uk/sc-cambuur-leeuwarden/startseite/verein/133
385,fortuna-sittard,Fortuna Sittard,NL1,18.38,26,25.4,17,65.4,3,Fortuna Sittard Stadion,12500,+£450Th.,Julio Velázquez,https://www.transfermarkt.co.uk/fortuna-sittard/startseite/verein/385
306,sc-heerenveen,Sc Heerenveen,NL1,20.7,22,23.8,11,50.0,2,Abe Lenstra Stadion,27224,£-1.67m,Kees van Wonderen,https://www.transfermarkt.co.uk/sc-heerenveen/startseite/verein/306
202,fc-groningen,Fc Groningen,NL1,27.02,27,22.8,13,48.1,3,Euroborg,22555,+£12.23m,Frank Wormuth,https://www.transfermarkt.co.uk/fc-groningen/startseite/verein/202
583,fc-paris-saint-germain,Fc Paris Saint Germain,FR1,801.32,28,25.3,18,64.3,15,Parc des Princes,49691,£-83.88m,Christophe Galtier,https://www.transfermarkt.co.uk/fc-paris-saint-germain/startseite/verein/583
499,vitesse-arnheim,Vitesse Arnheim,NL1,38.09,27,22.4,13,48.1,5,GelreDome,21248,£-1.08m,Phillip Cocu,https://www.transfermarkt.co.uk/vitesse-arnheim/startseite/verein/499
200,fc-utrecht,Fc Utrecht,NL1,37.26,31,25.0,13,41.9,4,"Stadion ""Galgenwaard""",23750,+£7.92m,Henk Fraser,https://www.transfermarkt.co.uk/fc-utrecht/startseite/verein/200
1041,olympique-lyon,Olympique Lyon,FR1,240.08,27,24.9,10,37.0,4,Groupama Stadium,59186,+£33.21m,Peter Bosz,https://www.transfermarkt.co.uk/olympique-lyon/startseite/verein/1041
162,as-monaco,As Monaco,FR1,312.84,28,23.6,28,100.0,11,Stade Louis-II,18523,+£66.15m,Philippe Clement,https://www.transfermarkt.co.uk/as-monaco/startseite/verein/162
826,rc-lens,Rc Lens,FR1,131.18,26,25.6,18,69.2,12,Stade Bollaert-Delelis,38223,+£17.95m,Franck Haise,https://www.transfermarkt.co.uk/rc-lens/startseite/verein/826
467,nec-nijmegen,Nec Nijmegen,NL1,17.57,25,24.0,10,40.0,3,Goffertstadion,12500,£-900Th.,Rogier Meijer,https://www.transfermarkt.co.uk/nec-nijmegen/startseite/verein/467
1421,stade-reims,Stade Reims,FR1,74.88,27,24.1,18,66.7,8,Stade Auguste-Delaune,21684,+£10.71m,Óscar García,https://www.transfermarkt.co.uk/stade-reims/startseite/verein/1421
1095,es-troyes-ac,Es Troyes Ac,FR1,62.46,28,25.2,16,57.1,5,Stade de l'Aube,21877,£-6.75m,Bruno Irles,https://www.transfermarkt.co.uk/es-troyes-ac/startseite/verein/1095
